SSR, lamb, beta, k, delta, p, c, K
7.483861153646714781e-01,1.160986336390899820e-01,2.552775618777341411e-05,1.926414722546628377e+00,2.791309938228967424e+18,2.972587567676835840e+18,9.021865579655974443e+01,6.039607663373344578e+06
1.141338603849710420e+00,1.292899298143061204e-01,2.230569925315350555e-05,2.207203485230758488e+00,2.915219411395988992e+18,3.101504821868175360e+18,8.993100609943648749e+01,8.317727040033174679e+06
1.414525211673703264e+00,1.514669323374578935e-01,2.708022469914701978e-05,1.779054359980245970e+00,2.983165790271298560e+18,3.033292746575371264e+18,9.117581066461235650e+01,8.603721378997884691e+06
1.565791959590026483e+00,1.367039740000000059e-01,2.203348929999999638e-05,2.154327830000000166e+00,2.896842260000006656e+18,3.121194819999997440e+18,8.896987599999999929e+01,8.027625430000000633e+06
4.396274818679438567e+02,2.255508252288535687e+00,7.791749023712224090e-08,6.877899991539998537e-02,4.553328893129154888e+20,1.985490248214252800e+16,1.366526793607269792e+04,9.707544696061885916e+05
1.110417304209172507e+00,1.295786683402787021e-01,2.196455385437967177e-05,2.152372882701633738e+00,2.884532872354757120e+18,3.134337172725201920e+18,8.871976569086648112e+01,8.268103407103915699e+06
1.143695545539273883e+00,1.362185951600905220e-01,2.506040287200340090e-05,1.747479350440760415e+00,2.843276405466336256e+18,3.179719475471288832e+18,8.826540943655784588e+01,7.228824377748414874e+06
1.431714318482522064e+00,1.367044806750017660e-01,2.203318714460080827e-05,2.154310367241119906e+00,2.896880621539006464e+18,3.121153489798360576e+18,8.897106560129854813e+01,8.027593454521082342e+06
8.336142893269608001e-01,1.599903091257994514e-01,2.442438501196680874e-05,1.568496864431893956e+00,2.691282060568737280e+18,3.359533926527954432e+18,8.113669671993289967e+01,6.695814049204441719e+06
1.362820290613817598e+00,1.491573827734010427e-01,2.664503375952546877e-05,1.782077755882027104e+00,2.934902200557163520e+18,3.080774214122383360e+18,8.917466348830674860e+01,7.589429188893489540e+06
6.565196992844938295e-01,2.189649714193401542e-01,4.835071407548727408e-05,1.432171743170897571e+00,3.507780478349074432e+18,2.571687815679097856e+18,1.104828372353174899e+02,1.576525102237679623e+07
9.872457670826640941e-01,1.795828059961813161e-01,1.967832210781348532e-05,1.769373603188461042e+00,2.683338581871185920e+18,3.369355451430123008e+18,8.265859565671617304e+01,1.148731856859243661e+07
8.625636098117535067e-01,1.216155991335138437e-01,2.234211904611882240e-05,2.199663883240595474e+00,2.927352043986605568e+18,3.088606582347614720e+18,9.013728394931008836e+01,8.264380978445080109e+06
1.148628755571200477e+00,1.643931070806113615e-01,2.159915400521067122e-05,1.749464732775665388e+00,3.120057305080125440e+18,2.972584876083806720e+18,7.481433261321532768e+01,1.438021180415871553e+07
1.393702378198895309e+00,1.400995982140266494e-01,2.205872276737674535e-05,2.194175174908224779e+00,2.875435315923218432e+18,3.144430571101063168e+18,8.820831341924359492e+01,8.032589497035115026e+06
7.427500550934956758e-01,1.959052121425908233e-01,1.886004074422004926e-05,1.570032354617699966e+00,2.687377803186968064e+18,3.437473701009932800e+18,9.355446714003031161e+01,2.437217956481678039e+07
1.487990290888111078e+00,1.367039740000000059e-01,2.203348929999999638e-05,2.154327830000000166e+00,2.896842260000006656e+18,3.121194819999997440e+18,8.896987599999999929e+01,8.027625430000000633e+06
4.504483166973066659e+02,3.120963577054167271e+00,8.111376050164431497e-08,9.781478120265889309e-02,4.797342316934927483e+20,1.884535396480661200e+16,1.438712910780201491e+04,1.170129552270529093e+06
1.484262183866534857e+00,1.367042290004722993e-01,2.203315459858877691e-05,2.154299300175151810e+00,2.896881557612410880e+18,3.121152473328008704e+18,8.897107248422837245e+01,8.027573564140830189e+06
7.217840311691072763e-01,1.768506471321859841e-01,1.759297737748500973e-05,1.512262613443401627e+00,2.466974667989047808e+18,3.771355967163950080e+18,7.588077686704747293e+01,9.660114121244993061e+06
1.128047465860497756e+00,1.316425612068149176e-01,2.209368443962578105e-05,2.171445115514596846e+00,2.897315244357591552e+18,3.120673159336273920e+18,8.913544107198144673e+01,8.178944571934517473e+06
1.412574190201567159e+00,1.377954188890867238e-01,2.216322971960020560e-05,2.195380384833059306e+00,2.895038632841285120e+18,3.123152100793732608e+18,8.885100912598588252e+01,7.908984655514034443e+06
1.280461121286049053e+00,1.397270169339852319e-01,2.766560171541614755e-05,2.002769812660283311e+00,3.037784160409029632e+18,2.970208040765833216e+18,9.293047143336164595e+01,7.461206972543657757e+06
1.544012347749691649e+00,1.367038500888997365e-01,2.203313542362586277e-05,2.154294560692943339e+00,2.896880932910758400e+18,3.121153144459729408e+18,8.897106108724290152e+01,8.027589907808820717e+06
9.553502644598208526e-01,1.491883491497309477e-01,2.222140836826077967e-05,2.251324916542667420e+00,2.870165983812997632e+18,3.150127151650515456e+18,8.798669501379622204e+01,7.932672796849352308e+06
7.896814402702790892e-01,1.196054834982133719e-01,2.180704782783088143e-05,2.083785713387530159e+00,2.900263612706636288e+18,3.117472724721764352e+18,8.919339509012350220e+01,8.135299366891055368e+06
